Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 4.41     |
|    ep_rew_mean     | 2.08     |
| time/              |          |
|    fps             | 255      |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.54        |
|    ep_rew_mean          | -2.18       |
| time/                   |             |
|    fps                  | 253         |
|    iterations           | 2           |
|    time_elapsed         | 16          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.013861854 |
|    clip_fraction        | 0.0556      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.61       |
|    explained_variance   | -0.000384   |
|    learning_rate        | 0.0003      |
|    loss                 | 310         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00316    |
|    value_loss           | 665         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.64        |
|    ep_rew_mean          | 4.36        |
| time/                   |             |
|    fps                  | 270         |
|    iterations           | 3           |
|    time_elapsed         | 22          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.021315375 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | 0.00631     |
|    learning_rate        | 0.0003      |
|    loss                 | 316         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0053     |
|    value_loss           | 638         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.37        |
|    ep_rew_mean          | 4.96        |
| time/                   |             |
|    fps                  | 261         |
|    iterations           | 4           |
|    time_elapsed         | 31          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014217209 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | 0.0257      |
|    learning_rate        | 0.0003      |
|    loss                 | 333         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00367    |
|    value_loss           | 716         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.34        |
|    ep_rew_mean          | 5.16        |
| time/                   |             |
|    fps                  | 270         |
|    iterations           | 5           |
|    time_elapsed         | 37          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.013261192 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.0086      |
|    learning_rate        | 0.0003      |
|    loss                 | 447         |
|    n_updates            | 40          |
|    policy_gradient_loss | 0.00785     |
|    value_loss           | 953         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.07        |
|    ep_rew_mean          | 0.459       |
| time/                   |             |
|    fps                  | 291         |
|    iterations           | 6           |
|    time_elapsed         | 42          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.028360475 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.00994     |
|    learning_rate        | 0.0003      |
|    loss                 | 545         |
|    n_updates            | 50          |
|    policy_gradient_loss | 0.0132      |
|    value_loss           | 1.05e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.89        |
|    ep_rew_mean          | -1.23       |
| time/                   |             |
|    fps                  | 303         |
|    iterations           | 7           |
|    time_elapsed         | 47          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.022099614 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | -0.00522    |
|    learning_rate        | 0.0003      |
|    loss                 | 346         |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00365     |
|    value_loss           | 673         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.7         |
|    ep_rew_mean          | 2.07        |
| time/                   |             |
|    fps                  | 311         |
|    iterations           | 8           |
|    time_elapsed         | 52          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.007853607 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.0146      |
|    learning_rate        | 0.0003      |
|    loss                 | 453         |
|    n_updates            | 70          |
|    policy_gradient_loss | 0.0054      |
|    value_loss           | 910         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.51        |
|    ep_rew_mean          | 0.393       |
| time/                   |             |
|    fps                  | 325         |
|    iterations           | 9           |
|    time_elapsed         | 56          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.004812671 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | 0.00712     |
|    learning_rate        | 0.0003      |
|    loss                 | 370         |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.00506     |
|    value_loss           | 701         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.98        |
|    ep_rew_mean          | -2.71       |
| time/                   |             |
|    fps                  | 333         |
|    iterations           | 10          |
|    time_elapsed         | 61          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.008208457 |
|    clip_fraction        | 0.0349      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.0266      |
|    learning_rate        | 0.0003      |
|    loss                 | 381         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00188    |
|    value_loss           | 805         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.75       |
|    ep_rew_mean          | -0.707     |
| time/                   |            |
|    fps                  | 337        |
|    iterations           | 11         |
|    time_elapsed         | 66         |
|    total_timesteps      | 22528      |
| train/                  |            |
|    approx_kl            | 0.01613117 |
|    clip_fraction        | 0.163      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.52      |
|    explained_variance   | 0.0454     |
|    learning_rate        | 0.0003     |
|    loss                 | 316        |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.00234   |
|    value_loss           | 648        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.62       |
|    ep_rew_mean          | 10.1       |
| time/                   |            |
|    fps                  | 335        |
|    iterations           | 12         |
|    time_elapsed         | 73         |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.02573946 |
|    clip_fraction        | 0.17       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.53      |
|    explained_variance   | 0.0364     |
|    learning_rate        | 0.0003     |
|    loss                 | 344        |
|    n_updates            | 110        |
